relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Cómo entrenar a tu dragón (2025) [tmdbid-1087192]/Cómo entrenar a tu dragón (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",7744s,6501kbps,23.98,5.86 GB
"Cómo ser John Malkovich (1999) [tmdbid-492]/Cómo ser John Malkovich (1999) - (Spanish English Subs) BDRip 1080p x265-AC3 AAC by Tigole-Kakihara (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (Castellano Ac3); AAC 5.1 (English)",6799s,6445kbps,23.98,5.10 GB
"Comportarse como adultos (2019) [tmdbid-512056]/Comportarse como adultos (2019) - (Spanish English Subs) WEBRip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",7636s,5595kbps,24.00,4.97 GB
"Contigo, todo (2025) [tmdbid-1319965]/Contigo, todo (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5897s,6652kbps,23.98,4.57 GB
"Criaturas de Dios (2022) [tmdbid-828558]/Criaturas de Dios (2022) - .mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (British)",6049s,7329kbps,23.98,5.16 GB
"Cruella (2021) [tmdbid-337404]/Cruella (2021) - (Spanish English Subs) BDrip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",8236s,5813kbps,23.98,5.57 GB
"Cuando termines de salvar el mundo (2023) [tmdbid-691422]/Cuando termines de salvar el mundo (2023) - WEB-DL 1080p x265 AC3 Castellano English Sub Spanish English.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5256s,4311kbps,23.98,2.64 GB
"Cut Bank (2014) [tmdbid-276902]/Cut Bank (2014) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (DD 5.1); AC3 5.1 (DD 5.1)",5705s,6001kbps,23.98,3.99 GB
"Dark City (1998) [tmdbid-2666]/Dark City (1998) - (Directors cut) (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",6708s,36736kbps,23.98,28.69 GB
"Death Proof (2007) [tmdbid-1991]/Death Proof (2007) - (Spanish English Subs) BDRip 1080p x264-AC3 by N01AH01 (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Esp); AC3 5.1 (Eng); AC3 5.1 (Eng 2)",6817s,5685kbps,23.98,4.51 GB
"Deep Cover: Actores encubiertos (2025) [tmdbid-1239193]/Deep Cover: Actores encubiertos (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",6039s,7276kbps,24.00,5.11 GB
"Déjame salir (2017) [tmdbid-419430]/Déjame salir (2017) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (Español); AC3 5.1 (Ingles)",6245s,6642kbps,23.98,4.83 GB
"Del cielo al infierno (2025) [tmdbid-1242434]/Del cielo al infierno (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",8109s,6559kbps,23.98,6.19 GB
"Del revés (Inside Out) (2015) [tmdbid-150540]/Del revés (Inside Out) (2015) - (Catala Spanish English Subs) BDrip 1080p x264-AC3 by PIZARRIN (filibusteros - totsrucs).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Català); AC3 5.1 (Castellano); AC3 5.1 (English)",5690s,6655kbps,23.98,4.41 GB
"Del revés 2 (Inside Out 2) (2024) [tmdbid-1022789]/Del revés 2 (Inside Out 2) (2024) - (Spanish Catala English Subs) WEBRip 1080p x264-EAC3 by JJ.mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); AC3 5.1 (cat); AC3 5.1 (eng)",5796s,6023kbps,24.00,4.06 GB
"Dentro del laberinto (1986) [tmdbid-13597]/Dentro del laberinto (1986) - (Master 4K) [BDRip 1080p x264 Dual AC3 5 1 Subs] [GrupoHDS].mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano AC3 5.1 @ 640 kbps [BD]); AC3 5.1 (Ingles AC3 5.1 @ 640 kbps [BD]); AC3 2.0 (Ingles AC3 2.0 @ 192 kbps [Comentarios de Brian Froud])",6063s,17970kbps,23.98,12.68 GB
"Dentro del laberinto (1986) [tmdbid-13597]/Dentro del laberinto (1986) - (Spanish English Subs) BDrip 1080p HDR HEVC 10b-AC3 by nara.mkv",HEVC,Main 10,10-bit,HLG,1080p,"AAC 2.0 (spa); AAC 5.1 (eng)",5815s,3425kbps,25.00,2.32 GB
"Depredador (1987) [tmdbid-106]/Depredador (1987) - (Spanish English Subs) BDrip 1080p x264-DTS-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS 5.1); AC3 5.1 (AC3 5.1)",6395s,7132kbps,23.98,5.31 GB
"Depredador 2 (1990) [tmdbid-169]/Depredador 2 (1990) - (Spanish English Subs) BDrip 1080p x264-DTS-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS 5.1); AC3 5.1 (AC3 5.1)",6480s,7131kbps,23.98,5.38 GB
"Descubriendo a los Robinsons (2007) [tmdbid-1267]/Descubriendo a los Robinsons (2007) - (1080p) (newpct com) (by tony32).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (Castellano DTS 5.1 [www.newpct.com][toni32]); DTS 5.1 (Inglés DTS 5.1 [www.newpct.com][toni32])",5671s,11851kbps,23.98,7.82 GB
"Despidiendo a Yang (2022) [tmdbid-585378]/Despidiendo a Yang (2022) - (Spanish English Subs) BDrip 1080p x264-AC3 by yamil.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5748s,5515kbps,23.98,3.69 GB
"Destino final: Lazos de sangre (2025) [tmdbid-574475]/Destino final: Lazos de sangre (2025) - ) (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",6588s,6642kbps,23.98,5.09 GB
"Devuélvemela (2025) [tmdbid-1151031]/Devuélvemela (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 2.0 (spa); AC3 5.1 (eng)",6225s,6902kbps,23.98,5.00 GB
"Días Perfectos (2023) [tmdbid-976893]/Días Perfectos (2023) - (Spanish Japanese Subs) BDRip 1080p x264-AC3 by canibales-xusman (nocturnia&exploradoresp2p).mkv",H264,High,8-bit,SDR,720p,"AC3 2.0 (spa); AC3 2.0 (stream 2)",7174s,2987kbps,25.00,2.49 GB
"Dinosaurio (2000) [tmdbid-10567]/Dinosaurio (2000) - (Spanish English Subs) BDRip 1080p x264-AC3 by toni32.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano); AC3 5.1 (English)",4920s,4774kbps,23.98,2.73 GB
"Dirty Dancing (1987) [tmdbid-88]/Dirty Dancing (1987) - (Spanish English Subs) BDrip 1080p x265-AC3 by JJ.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (español); AC3 5.1 (english)",6013s,1971kbps,23.98,1.38 GB
"District 9 (2009) [tmdbid-17654]/District 9 (2009) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1); AC3 5.1 (AC3 5.1)",6746s,6837kbps,23.98,5.37 GB
"Doble traición (2018) [tmdbid-476678]/Doble traición (2018) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6482s,5322kbps,23.98,4.02 GB
"Doctor Strange en el multiverso de la locura (2022) [tmdbid-453395]/Doctor Strange en el multiverso de la locura (2022) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AC3 by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",7591s,25138kbps,23.98,22.22 GB
"Dogman (2023) [tmdbid-944401]/Dogman (2023) - (Spanish English Subs) BDRip 1080p x265-AC3 by yamil.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6884s,4399kbps,24.00,3.53 GB
"Dream Scenario (2023) [tmdbid-823482]/Dream Scenario (2023) - (Spanish English Subs) WEB-DL 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",6100s,26036kbps,23.98,18.49 GB
"Dumbo (1941) [tmdbid-11360]/Dumbo (1941) - (Spanish English) HDrip XviD-AC3 by araubi (sharezade net).avi",MPEG4,Advanced Simple Profile,8-bit,SDR,SD,"AC3 5.1 (stream 1); AC3 5.1 (stream 2)",3837s,3262kbps,23.98,1.46 GB
"Dumbo (2019) [tmdbid-329996]/Dumbo (2019) - (Spanish English Subs) BDrip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano); AC3 5.1 (Inglés)",6717s,5268kbps,23.98,4.12 GB
"Dune (2021) [tmdbid-438631]/Dune (2021) - (Spanish English Spanishsub Englishsub) UHD 4K HDR HEVC 10b-AC3 by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (spa); EAC3 5.1 (eng)",9355s,19300kbps,23.98,21.02 GB
"Dune: Parte dos (2024) [tmdbid-693134]/Dune: Parte dos (2024) - (Spanish English Subs) WEB-DL 2160p x265 10Bit Dolby Vision HDR-EAC3 EAC3ATMOS by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",10016s,25734kbps,23.98,30.01 GB
"Eddington (2025) [tmdbid-648878]/Eddington (2025) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3ATMOS by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",8944s,19636kbps,23.98,20.44 GB
"Edén (2025) [tmdbid-1042834]/Edén (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 by scorpion-xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Spanish); EAC3 5.1 (English)",7823s,3316kbps,24.00,3.02 GB
"El año más violento (2014) [tmdbid-241239]/El año más violento (2014) - (Spanish English Subs) BDRip 1080p x264-EAC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng)",7498s,5691kbps,23.98,4.97 GB
"El aprendiz de brujo (2010) [tmdbid-27022]/El aprendiz de brujo (2010) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (DD 5.1 @ 640 Kbps); AC3 5.1 (DD 5.1 @ 640 Kbps)",6543s,6004kbps,23.98,4.57 GB
"El brillo de la televisión (2024) [tmdbid-858017]/El brillo de la televisión (2024) - (Spanish English Subs) BDRip 1080p x265-AC3 by JJ.mkv",HEVC,Main,8-bit,SDR,1080p,"AC3 5.1 (Castellano DD 5.1); AC3 5.1 (Compatibility Track)",6017s,3832kbps,23.98,2.68 GB
"El caballero oscuro (2008) [tmdbid-155]/El caballero oscuro (2008) - (IMAX) (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",9132s,17050kbps,23.98,18.13 GB
"El caballero verde (2021) [tmdbid-559907]/El caballero verde (2021) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (DD 5.1); AC3 5.1 (DD 5.1)",7790s,6993kbps,23.98,6.34 GB
"El Club de la Lucha (1999) [tmdbid-550]/El Club de la Lucha (1999) - [BDRemux 1080p].mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS [www.newpct.com]); DTS 5.1 (DTS [www.newpct.com])",8348s,27460kbps,23.98,26.69 GB
"El club del crimen de los jueves (2025) [tmdbid-744653]/El club del crimen de los jueves (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 EAC3ATMOS by enjoy (hispashare org).mkv",H264,Main,8-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",7222s,6217kbps,24.00,5.23 GB
"El dragón de los deseos (2021) [tmdbid-550205]/El dragón de los deseos (2021) - (Spanish) WEB-DL 1080p x264-EAC3.mkv",H264,Main,8-bit,SDR,1080p,"EAC3 5.1 (spa)",6144s,3274kbps,23.98,2.34 GB
"El emperador y sus locuras (2000) [tmdbid-11688]/El emperador y sus locuras (2000) - (Spanish English Subs) BDrip 1080p x264-AC3 by axis.mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (español); AC3 5.1 (english)",4716s,1727kbps,23.98,0.95 GB
"El faro (2019) [tmdbid-503919]/El faro (2019) - [MHD m1080p h264 AC3 5 1 Spa Eng +Sub -By ProdigyO-].mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa); AC3 5.1 (eng)",6552s,5756kbps,23.98,4.39 GB
"El final de la gira (2015) [tmdbid-249688]/El final de la gira (2015) - (Spanish English Spanishsub Englishsub) Hd720 x264-Ac3 By Hdkny.mkv",H264,Main,8-bit,SDR,720p,"AC3 5.1 (Audio español); AC3 5.1 (Audio inglés)",6354s,4498kbps,23.98,3.33 GB
"El gigante de hierro (1999) [tmdbid-10386]/El gigante de hierro (1999) - [1080p BluRay] [x264] [VietHD] [Dual+Subs].mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); DTS 5.1 (English); AC3 2.0 (English (commentary)); AC3 2.0 (English (commentary))",5399s,12476kbps,23.98,7.84 GB
"El Grinch (2018) [tmdbid-360920]/El Grinch (2018) - - (Esp Ing) Bluray x 264 1080p (1 25 49).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5149s,7741kbps,23.98,4.64 GB
"El imperio contraataca (1980) [tmdbid-1891]/El imperio contraataca (1980) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",7644s,21782kbps,23.98,19.38 GB
"El jorobado de Notre Dame (1996) [tmdbid-10545]/El jorobado de Notre Dame (1996) - (Spanish) BDrip 1080p x264-AC3 (exploradoresp2p com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano)",5227s,2435kbps,25.00,1.48 GB
"El libro de la selva (1967) [tmdbid-9325]/El libro de la selva (1967) - (Spanish English Subs) BDRip 1080p x265-AC3 by Jonkar (hispashare com).mkv",HEVC,Main,8-bit,SDR,720p,"AC3 5.1 (AC3 castellano); AC3 5.1 (DTS ingles)",4707s,4774kbps,23.98,2.62 GB
"El libro de la selva (2016) [tmdbid-278927]/El libro de la selva (2016) - (Spanish English Subs) BDRip 1080p x264-AC3 (newpct1).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 ([www.newpct1.com]); AC3 5.1 ([www.newpct1.com])",6355s,6017kbps,23.98,4.45 GB
"El monstruo (The Monster) (2016) [tmdbid-340103]/El monstruo (The Monster) (2016) - (Spanish English Subs) WEBDL 1080p x264-AC3 by La Corporacion.mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (El Monstruo (The Monster) (2016) MicroHD 1080 - La Corporacion); AC3 5.1 (El Monstruo (The Monster) (2016) MicroHD 1080 - La Corporacion)",5486s,6450kbps,23.98,4.12 GB
"El padrino (1972) [tmdbid-238]/El padrino (1972) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 2.0 (Castellano doblaje original 2.0); AC3 5.1 (Castellano redoblaje 5.1); EAC3 5.1 (Ingles)",10528s,27994kbps,23.98,34.31 GB
"El Padrino Parte II (1974) [tmdbid-240]/El Padrino Parte II (1974) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 2.0 (Castellano doblaje original 2.0); AC3 5.1 (Castellano redoblaje 5.1); EAC3 5.1 (Ingles)",12034s,22377kbps,23.98,31.35 GB
"El Padrino Parte III (1990) [tmdbid-242]/El Padrino Parte III (1990) - (Vers extendida) (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 5.1 (Ingles)",10208s,25033kbps,23.98,29.75 GB
"El planeta del tesoro (2002) [tmdbid-9016]/El planeta del tesoro (2002) - (Spanish Catala English Subs) BDRip 1080p x265-AC3 by Jonkar.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (Castellano DD 5.1); AC3 5.1 (Catalán DD 5.1); AC3 5.1 (Inglés DD 5.1)",5724s,4329kbps,23.98,2.88 GB
"El quinto elemento (1997) [tmdbid-18]/El quinto elemento (1997) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AAC by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AAC 5.1 (spa); AAC 5.1 (eng)",7554s,31317kbps,23.98,27.54 GB
"El resplandor (1980) [tmdbid-694]/El resplandor (1980) - (Vers Extendida) (Spanish English Subs) BDRip 2160p x265 10Bit HDR-AC3 AAC (hispashare com).mkv",HEVC,Main 10,10-bit,HDR10,4K,"AC3 5.1 (Castellano); AAC 5.1 (Ingles)",8626s,14728kbps,23.98,14.79 GB
"El retorno del Jedi (1983) [tmdbid-1892]/El retorno del Jedi (1983) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-AC3 EAC3 by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"AC3 5.1 (Castellano); EAC3 7.1 (Ingles)",8088s,22388kbps,23.98,21.08 GB
"El reverendo (2018) [tmdbid-458737]/El reverendo (2018) - (Spanish English Subs) BDRip 1080p x264-AC3 by yamil.mkv",H264,High,8-bit,SDR,720p,"DTS 5.1 (spa); AC3 5.1 (spa); AC3 5.1 (eng)",6800s,7116kbps,23.98,5.63 GB
"El rey león (1994) [tmdbid-8587]/El rey león (1994) - (Spanish English Subs) BDRip 2160p x265 10Bit HDR-EAC3 EAC3ATMOS by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,HDR10,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",5304s,20828kbps,23.98,12.86 GB
"El rey león (2019) [tmdbid-420818]/El rey león (2019) - (Spanish Subs) BDrip 1080p x265-AAC by SparroW.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AAC 5.1 (spa)",7095s,2284kbps,23.98,1.89 GB
"El sacrificio de un ciervo sagrado (2017) [tmdbid-399057]/El sacrificio de un ciervo sagrado (2017) - (Spanish English Subs) HD 1080p x264-AC3 by Phenom.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",7262s,5396kbps,23.98,4.56 GB
"El souvenir (2019) [tmdbid-473019]/El souvenir (2019) - (Spanish English Spanishsub Englishsub) BDRip m720p x264-AC3 (laxa).mkv",H264,High,8-bit,SDR,480p,"AC3 2.0 (spa); AC3 5.1 (eng)",7187s,3548kbps,23.98,2.97 GB
"El último beso del káiser (2017) [tmdbid-339987]/El último beso del káiser (2017) - (Spanish English Subs) BDrip 1080p x264-AC3 by Emuliza HDKnY.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6433s,14307kbps,23.98,10.72 GB
"El último hombre negro en San Francisco (2019) [tmdbid-522039]/El último hombre negro en San Francisco (2019) - (Spanish English Subs) BDRip 1080p x264-EAC3 by canibales-xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,720p,"EAC3 2.0 (spa); EAC3 5.1 (eng)",7243s,2613kbps,23.98,2.20 GB
"El viento de Amnesia (1990) [tmdbid-42070]/El viento de Amnesia (1990) - (Spanish Japanese English Subs) BDRip 1080p x264-AC3 by xusman (nocturniap2p).mkv",H264,High 10,10-bit,SDR,720p,"EAC3 2.0 (Stereo); EAC3 2.0 (English Dub (Stereo)); AC3 2.0 (stream 3)",4818s,4062kbps,23.98,2.28 GB
"Elemental (2023) [tmdbid-976573]/Elemental (2023) - (Spanish English Subs) WEBRip 1080p x264-EAC3 (hispashare com).mkv",H264,Main,8-bit,SDR,1080p,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",6483s,5767kbps,23.98,4.35 GB
"Elena y el secreto de Ávalor (2016) [tmdbid-427143]/Elena y el secreto de Ávalor (2016) - m1080P Descargasmix.mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (spa); AC3 5.1 (eng)",3784s,9718kbps,23.98,4.28 GB
"Elio (2025) [tmdbid-1022787]/Elio (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 by kowalski-xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"EAC3 7.1 (Castellano DD+ 7.1 @ 640 kb/s); EAC3 5.1 (Ingles DD+ 5.1 Atmos @ 768 kb/s)",5865s,3661kbps,24.00,2.50 GB
"Emoji: La película (2017) [tmdbid-378236]/Emoji: La película (2017) - Repack [BDrip 1080p x264 Dual AC3 Subs] [GrupoHDS].mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (AC3 5.1 @ 640 Kbps); AC3 5.1 (AC3 5.1 @ 640 Kbps)",5182s,10149kbps,23.98,6.12 GB
"En busca del arca perdida (1981) [tmdbid-85]/En busca del arca perdida (1981) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky.mkv",H264,High,8-bit,SDR,1080p,"AC3 2.0 (AC3 2.0 Doblaje original); AC3 5.1 (AC3 5.1); AC3 5.1 (AC3 5.1)",6919s,7972kbps,23.98,6.42 GB
"En el bosque (2016) [tmdbid-334538]/En el bosque (2016) - (Spanish English Subs) BDrip m1080p x264-AC3.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6097s,6795kbps,23.98,4.82 GB
"En los 90 (2018) [tmdbid-437586]/En los 90 (2018) - (Spanish English Subs) BDRip 1080p x264-AC3.mkv",H264,High,8-bit,SDR,720p,"AC3 2.0 (spa); AC3 5.1 (eng)",5122s,7243kbps,23.98,4.32 GB
"Encanto (2021) [tmdbid-568124]/Encanto (2021) - (Spanish English Subs) WEBDL 1080p x264-AC3 (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Castellano AC3); AC3 5.1 (Ingles AC3)",6145s,7512kbps,23.98,5.37 GB
"Enemigos (2025) [tmdbid-1285406]/Enemigos (2025) - (Spanish Subs) WEB-DL 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (Spanish)",6224s,2535kbps,24.00,1.84 GB
"Enemy (2014) [tmdbid-181886]/Enemy (2014) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (DD 5.1); AC3 5.1 (DD 5.1)",5453s,5806kbps,23.98,3.69 GB
"Enredados (2010) [tmdbid-38757]/Enredados (2010) - (Spanish English Subs) BDrip 1080p x264-DTS by axis.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (español); DTS 5.1 (español DTS); AC3 5.1 (english)",6057s,3938kbps,23.98,2.78 GB
"Escuadrón de la muerte (2019) [tmdbid-489245]/Escuadrón de la muerte (2019) - (Spanish English Subs) BDrip 1080p x265-AC3 by Wally.mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",5256s,3768kbps,23.98,2.31 GB
"Espartaco (1960) [tmdbid-967]/Espartaco (1960) - Remasterizada (Spanish English Subs) BDRip 1080p x264-AC3 by Marc27 (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano AC3); AC3 5.1 (Ingles AC3)",11804s,6142kbps,23.98,8.44 GB
"Ex Machina (2014) [tmdbid-264660]/Ex Machina (2014) - (Spanish English Subs) BDRip 1080p x264-EAC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng)",6487s,5721kbps,23.98,4.32 GB
"Exorcismo: El Ritual (2025) [tmdbid-1278950]/Exorcismo: El Ritual (2025) - (Spanish English Subs) BDRip 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"AAC 5.1 (stream 1); EAC3 5.1 (stream 2)",5909s,3273kbps,24.00,2.25 GB
"Expediente Warren: El último rito (2025) [tmdbid-1038392]/Expediente Warren: El último rito (2025) - (Spanish English Subs) WEB-DL 1080p x264-EAC3 by xusman (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"AAC 5.1 (stream 1); EAC3 5.1 (spa)",8151s,2892kbps,23.98,2.74 GB
"Eyes Wide Shut (1999) [tmdbid-345]/Eyes Wide Shut (1999) - (Spanish English Subs) BDrip 1080p x265-AC3 by axis.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (español); AC3 5.1 (english)",9542s,1631kbps,23.98,1.81 GB
"F1 la película (2025) [tmdbid-911430]/F1 la película (2025) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano DD 5.1 @ 640 kbps); AC3 5.1 (Inglés DD 5.1 @ 640 kbps)",9318s,6013kbps,23.98,6.52 GB
"Fear and desire (Miedo y deseo) (1953) [tmdbid-10165]/Fear and desire (Miedo y deseo) (1953) - (English Subs) BDRip 720p x264-AAC by Juggernaut.mkv",H264,Main,8-bit,SDR,480p,"AAC 2.0 (stream 1)",3660s,4139kbps,24.00,1.76 GB
"Fight or Flight (Sicarios en el aire) (2025) [tmdbid-1212855]/Fight or Flight (Sicarios en el aire) (2025) - (Spanish English Subs) Micro4K 2160p HDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,BT.2020,4K,"AC3 5.1 (Español); AC3 5.1 (Ingles)",5868s,6640kbps,25.00,4.54 GB
