relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Alien: Resurrección (1997) [tmdbid-8078]/Alien: Resurrección (1997) - (Spanish English Subs) BDrip 1080p x264-DTS-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS 5.1); AC3 5.1 (DD 5.1)",6969s,6218kbps,23.98,5.04 GB
"Alien: Romulus (2024) [tmdbid-945961]/Alien: Romulus (2024) - (Spanish English Subs) BDRip 1080p x264-EAC3 by mokesky (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"EAC3 5.1 (spa); EAC3 5.1 (eng)",7141s,5735kbps,23.98,4.77 GB
"Alien: Romulus (2024) [tmdbid-945961]/Alien: Romulus (2024) - (Spanish English Subs) WEB-DL 2160p x265 10Bit Dolby Vision HDR-EAC3 EAC3ATMOS by enjoy (hispashare org).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); EAC3 5.1 (Ingles)",7134s,26082kbps,24.00,21.66 GB
"Alien³ (1992) [tmdbid-8077]/Alien³ (1992) - (Spanish English Subs) BDrip 1080p x264-DTS-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (DTS 5.1); AC3 5.1 (DD 5.1)",8693s,6182kbps,23.98,6.26 GB
"Aliens vs. Predator 2 (2007) [tmdbid-440]/Aliens vs. Predator 2 (2007) - (Spanish English Subs) BDRip 1080p x264-AC3 by scorpion (nocturniap2p).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6066s,3269kbps,23.98,2.31 GB
"Aliens: El regreso (1986) [tmdbid-679]/Aliens: El regreso (1986) - (Spanish English English Subs) BDRip 1080p x264-DTS AC3 by N01AH01 (hispashare org).mkv",H264,High,8-bit,SDR,1080p,"DTS 5.1 (Esp DTS); AC3 5.1 (Eng); AC3 2.0 (Eng commentary)",8234s,5182kbps,23.98,4.97 GB
"All Dirt Roads Taste of Salt (2023) [tmdbid-800227]/All Dirt Roads Taste of Salt (2023) - 1080p x264 eng sub ita eng ac3 - ildragonero2.mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (ac3)",5852s,2634kbps,23.98,1.79 GB
"Amén (2002) [tmdbid-9045]/Amén (2002) - (Spanish English Subs) BDrip 1080p x264-AC3 (exploradoresp2p).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (Castellano); AC3 5.1 (Ingles)",7892s,4396kbps,23.98,4.04 GB
"Amigos (2025) [tmdbid-1239655]/Amigos (2025) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,1080p,"AC3 5.1 (Español); AC3 5.1 (English)",6170s,6487kbps,23.98,4.66 GB
"Amor a lo bestia (2024) [tmdbid-1098378]/Amor a lo bestia (2024) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (spa); AC3 5.1 (eng)",6215s,7282kbps,23.98,5.27 GB
"Amor zombie (2014) [tmdbid-244566]/Amor zombie (2014) - (Spanish) MicroHD 720p AVC-AC3 by ChInAK O.mkv",H264,High,8-bit,SDR,720p,"AC3 5.1 (spa)",5340s,3210kbps,23.98,2.00 GB
